Year,Accuracy,ROI,TrainSamples
2016,0.6743173723783142,-0.04660387811634328,5056
2017,0.6526461295418642,-0.07146050552922568,10110
2018,0.6361867704280155,-0.0709669260700388,15174
2019,0.6113320079522863,-0.10070497017892614,20314
2020,0.6361066235864298,-0.03631987075928929,25344
2021,0.6288381742738589,-0.03646680497925324,27820
2022,0.6413427561837456,-0.05378288182175067,32640
2023,0.6402369124952235,-0.06041192204814665,37734
2024,0.6369499241274659,-0.05453148710166933,42968
2025,0.6491368928141309,-0.03742472902448831,48240
